Rk,Year,Lg,Rd,Tm,Player,Age,Pos,Born,College,From,To,Pk,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
11,2018,NBA,1,PHI,Mikal Bridges,21.300,G,us,Villanova,2019,2020,10,155,28.8,8.7,3.6,1.9,1.5,0.5,.467,.581,.345,.825,7.7,.083
12,2018,NBA,1,NYK,Kevin Knox,18.319,F,us,Kentucky,2019,2020,9,140,23.7,9.9,3.7,1.0,0.5,0.4,.367,.388,.337,.697,-1.2,-0.017
13,2018,NBA,1,CLE,Collin Sexton,19.173,G,us,Alabama,2019,2020,8,147,32.3,18.5,3.0,3.0,0.7,0.1,.450,.469,.392,.843,1.9,.019
14,2018,NBA,1,CHI,Wendell Carter,19.071,C,us,Duke,2019,2020,7,87,27.2,10.8,8.2,1.5,0.7,1.1,.508,.538,.197,.761,5.2,.105
15,2018,NBA,1,ORL,Mohamed Bamba,20.045,C,us,Texas,2019,2020,6,109,15.1,5.7,4.9,0.7,0.3,1.4,.471,.543,.328,.624,4.2,.121
16,2018,NBA,1,DAL,Trae Young,19.280,G,us,Oklahoma,2019,2020,5,141,32.8,23.6,3.9,8.6,1.0,0.2,.428,.488,.344,.847,9.1,.095
17,2018,NBA,1,MEM,Jaren Jackson,18.284,F,us,Michigan State,2019,2020,4,115,27.3,15.5,4.6,1.2,0.8,1.5,.485,.547,.384,.757,6.8,.104
18,2018,NBA,1,ATL,Luka Doncic,19.118,G-F,si,,2019,2020,3,133,32.8,24.7,8.5,7.3,1.0,0.3,.445,.540,.321,.737,13.7,.151
19,2018,NBA,1,SAC,Marvin Bagley,19.104,F,us,Duke,2019,2020,2,75,25.3,14.8,7.6,1.0,0.5,0.9,.497,.530,.288,.703,4.0,.100
20,2018,NBA,1,PHO,Deandre Ayton,19.338,C,bs,Arizona,2019,2020,1,109,31.4,17.0,10.7,1.8,0.8,1.1,.570,.574,.176,.748,9.0,.126
