Player,Height w/o Shoes,Height w/ Shoes,Weight,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width
Rawle Alkins SG,6f 2.75i,6f 4.25i,217.4,6f 8.75i,8f 3i,8.90%,8.50,10.00
Grayson Allen SG,6f 3i,6f 4.5i,198.0,6f 7.25i,8f 1i,5.55%,8.25,10.00
Kostas Antetokounmpo PF,6f 9i,6f 10.5i,194.8,7f 2.25i,9f 2i,5.00%,9.25,9.50
Udoka Azubuike C,6f 10i,7f 0.25i,273.8,7f 7i,9f 4.5i,7.95%,9.50,10.00
Mohamed Bamba C,6f 11.25i,7f 0.75i,225.6,7f 10i,9f 7.5i,6.20%,9.75,10.25
Jaylen Barford PG-SG,6f 1.25i,6f 2.25i,207.6,6f 3.5i,8f 0.5i,11.65%,8.00,8.25
Keita Bates-Diop SG-SF,6f 7.25i,6f 8.5i,223.8,7f 3.25i,8f 10.5i,5.35%,9.00,8.50
Tyus Battle SG,6f 5i,6f 6.75i,200.2,6f 9i,8f 6i,4.00%,8.50,9.25
Brian Bowen SG-SF,6f 6.25i,6f 7.5i,202.0,6f 10.25i,8f 7.5i,7.60%,9.00,10.00
Miles Bridges SF ‘,6f 5.25i,6f 6.75i,220.4,6f 9.5f,8f 7.5i,5.90%,9.00,9.75
Troy Brown SF,6f 5.75i,6f 6.75i,208.0,6f 10.25i,8f 9i,7.05%,9.00,9.75
Bruce Brown SG-PG,6f 3.5i,6f 5i,194.6,6f 9i,8f 2.5i,3.75%,8.50,8.50
Jalen Brunson PG,6f 1i,6f 2.25i,198.4,6f 4i,8f 0i,6.70%,8.25,9.25
Tony Carr PG,6f 3i,6f 4.5i,198.8,6f 8.25i,8f 4i,6.50%,8.50,9.75
Wendell Carter C-PF,6f 8.75i,6f 10i,251.4,7f 4.5i,9f 1i,7.85%,8.50,9.00
Jevon Carter PG,6f 0.25i,6f 1.5i,196.2,6f 4.25i,7f 11i,4.15%,9.25,8.50
Donte DiVincenzo SG,6f 3.5i,6f 4.5i,200.,6f 6.5i,8f 1.5i,5.00%,8.25,9.00
Hamidou Diallo SG,6f 4.25i,6f 6i,197.0,6f 11.5i,8f 7i,4.45%,8.75,9.00
Trevon Duval PG,6f 1.5i,6f 2.5i,191.0,6f 8.25i,8f 1.5i,5.20%,8.75,10.00
Carsen Edwards PG,5f 10.75i,6f 0i,195.6,6f 6.25i,7f 10.5i,6.30%,8.50,9.25
Jacob Evans SG-SF,6f 4.25i,6f 5.5i,199.6,6f 9.25i,8f 6.5i,6.50%,9.00,9.25
Keenan Evans SG-PG,6f 1.5i,6f 3i,183.2,6f 5.25i,8f 2i,6.50%,8.50,8.00
Bruno Fernando C,6f 8.75i,6f 9.75i,233.2,7f 4.25i,9f 1i,5.25%,9.50,10.00
Melvin Frazier SF-SG,6f 4.5i,6f 6i,198.2,7f 1.75i,8f 9i,7.90%,9.50,9.50
Shai Gilgeous-Alexander PG,6f 4.5i,6f 6i,180.0,6f 11.5i,8f 8i,3.00%,9.00,9.00
Devonte Graham PG,6f 0.25i,6f 1.5i,186.4,6f 6.25i,8f 0i,4.80%,8.50,9.50
Isaac Haas C,7f 1.25i,7f 2.75i,303.0,7f 5i,9f 3.5i,12.55%,10.00,10.50
Devon Hall SG,6f 4.25i,6f 6i,206.4,6f 7.75i,8f 6i,8.45%,8.50,10.00
Jaylen Hands PG,6f 1.5i,6f 2.75i,179.0,6f 5.5i,8f 2i,5.00%,8.00,8.00
Kevin Hervey SF-PF,6f 6.5i,6f 7.75i,211.6,7f 3.5i,8f 11i,5.15%,9.25,10.25
Aaron Holiday PG,5f 11.75i,6f 0.75i,187.0,6f 7.5i,8f 1i,6.40%,8.75,8.50
Kevin Huerter SG-SF,6f 6.25i,6f 7.25i,194.0,6f 7.5i,8f 5.5i,8.60%,8.25,8.50
Jaren Jackson Jr. PF-C,6f 9.75i,6f 11.25i,236.0,7f 5.25i,9f 2i,7.20%,10.00,10.00
Justin Jackson PF-SF,6f 6i,6f 6.75i,229.4,7f 3i,8f 9i,8.90%,9.00,9.50
Alize Johnson PF,6f 7.25i,6f 8i,216.6,6f 8.75f,8f 7i,8.10%,8.50,9.75 ‘
George King SF,6f 4.75i,6f 6i,218.6,6f 11.5i,8f 5.5i,7.25%,9.00,10.25
Kevin Knox SF-PF,6f 7.75i,6f 9i,212.6,6f 11.75i,9f 0i,4.95%,8.75,9.25
Sagaba Konate C-PF,6f 6.5i,6f 7.5i,246.0,7f 0i,8f 10.5i,7.35%,9.25,10.00
Cody Martin SG-SF,6f 4.75i,6f 6i 8f,188.6,6f 10.25i,8.5i,5.45%,8.50,9.00
Caleb Martin SF-SG,6f 4.75i,6f 6i,195.8,6f 10i,8f 5.5i,7.00%,8.50,8.75
Yante Maten PF-C,6f 7.25i,6f 8.5i,246.2,7f 0.5i,8f 11.5i,8.10%,9.25,10.00
Brandon McCoy C,6f 11.5i,7f 0.5i,250.4,7f 2i,9f 2.5i,8.70%,9.75,9.50
De'Anthony Melton SG-PG,6f 2.25i,6f 3.25i,193.2,6f 8.5i,8f 3.5i,5.20%,8.50,9.50
Chimezie Metu PF-C,6f 8.5i,6f 9.5i,219.6,7f 0.5i,9f 0i,5.05%,9.00,9.25
Shake Milton SG-PG,6f 4.5i,6f 5.5i,207.2,7f 0.75i,8f 3.5i,6.80%,8.75,9.50
Sviatoslav Mykhailiuk SG-SF,6f 6.5i,6f 7.75i,211.6,6f 4.75i,8f 4i,8.45%,8.25,9.50
Malik Newman SG,6f 2.5i,6f 3.25i,189.2,6f 5.5i,8f 2.5i,6.25%,8.50,9.50
Josh Okogie SG,6f 3i,6f 4.5i,210.8,7f 0i,8f 6i,5.20%,9.00,9.75
Theo Pinson SG-SF,6f 5i,6f 6.75i,211.2,6f 10.75i,8f 7.5i,7.35%,9.00,9.00
Michael Porter SF-PF,6f 9.5i,6f 10.75i,211.0,7f 0.25i,9f 0.5i,6.40%,8.75,9.25
Jontay Porter C-PF,6f 10i,6f 11.5i,236.0,7f 0.25i,9f 1i,13.85%,8.75,9.50
Billy Preston PF,6f 8.75i,6f 10.5i,222.4,7f 2i,9f 0i,5.45%,9.25,9.50
Raymond Spalding PF,6f 9i,6f 10.25i,215.4,7f 4.75i,9f 1i,5.55%,9.25,9.00
Jerome Robinson SG,6f 4i,6f 5i,188.4,6f 7.25i,8f 2i,6.05%,9.00,10.00
Collin Sexton PG,6f 0.5i,6f 1.5i,183.0,6f 7.25i,8f 2.5i,5.60%,8.25,8.50
Landry Shamet PG,6f 4i,6f 5.25i,188.6,6f 6.75i,8f 4i,4.85%,8.00,9.00
Anfernee Simons SG-PG,6f 2.25i,6f 3.25i,183.2,6f 9.25i,8f 3.5i,7.70%,8.75,9.00
Zhaire Smith SG,6f 2.75i,6f 4i,198.6,6f 9.75i,8f 4i,6.05%,8.75,8.25
Omari Spellman PF-C,6f 8i,6f 9.25i,253.8,7f 2i,8f 11.5i,13.75%,9.00,9.00
Khyri Thomas SG,6f 2.5i,6f 3.75i,198.8,6f 10.5i,8f 5i,6.40%,8.75,9.25
Gary Trent Jr. SG,6f 4.25i,6f 5.75i,204.2,6f 8.75i,8f 2i,7.00%,8.50,9.50
Allonzo Trier SG,6f 3.75i,6f 5.25i,198.0,6f 6.75i,8f 2i,4.95%,8.25,10.50
Moritz Wagner C-PF,6f 10.5i,6f 11.5i,241.4,7f 0i,9f 0i,6.75%,9.00,10.75
Lonnie Walker SG,6f 3.75i,6f 4.5i,196.2,6f 10.25i,8f 3.5i,5.65%,9.00,9.50
PJ Washington PF,6f 6.5i,6f 8i,223.0,7f 2.5i,8f 11i,6.85%,9.00,10.25
Austin Wiley C,6f 8.25i,6f 10i,249.4,7f 5i,9f 3i,5.00%,9.75,10.25
Kris Wilkes SF,6f 6.5i,6f 7.5i,205.0,6f 10.25i,8f 7.5i,5.15%,8.75,9.25
Kenrich Williams SF,6f 6i,6f 7.5i,200.4,6f 7.25i,8f 7.5i,5.95%,8.50,9.75
Trae Young PG,6f 0.5i,6f 1.75i,177.8,6f 3f,7f 11.5i,5.35% ‘,8.00,9.25
