"","active_from","active_to","birth_date","college","height","name","position","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg%","NBA_fg_per_game","NBA_fga_per_game","NBA_ft%","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg"
"1",1998,2003,"November 3","San Jose State University","6-6","Tariq Abdul-Wahad","F","223","0.3",0.237,0.1,0.422,0.417,3.1,7.3,0.703,1.6,2.2,236,7.8,0,0,0,0,0,0,0,NA,NA,NA
"2",2008,2018,"October 15","Los Angeles","6-5","Arron Afflalo","G","210","2.9",0.386,1.1,0.514,0.449,3.9,8.7,0.825,1.8,2.2,761,10.8,5.4,0.373,2,0,10.9,0.457,5,0.781,3.6,2.8
"3",1985,1985,"February 26","University of Connecticut","6-11","Chuck Aleksinas","C","260","0.0",0,0,0.478,0.478,2.2,4.6,0.733,0.7,1,74,5.1,0,0,0,0,6.8,0.561,3.8,0.721,3.5,2.5
"4",2005,2018,"January 11","Oklahoma State University","6-4","Tony Allen","G-F","213","0.5",0.282,0.2,0.487,0.475,3.2,6.6,0.709,1.7,2.3,820,8.1,2.2,0.347,0.8,0,11.5,0.477,5.5,0.682,5.2,3.5
"5",2000,2010,"July 24","Fresno","6-2","Rafer Alston","G","171","4.2",0.354,1.5,0.461,0.383,3.7,9.5,0.729,1.3,1.8,671,10.1,5.9,0.337,2,0,9.4,0.401,3.8,0.758,2,1.5
"6",1996,2003,"November 26","Pennsylvania State University","6-10","John Amaechi","C-F","270","0.0",0.077,0,0.403,0.403,2.3,5.6,0.671,1.7,2.6,294,6.2,0.6,0.304,0.2,0,7.8,0.514,4,0.69,6.6,4.5
"7",2007,2016,"December 7","Las Vegas","6-9","Lou Amundson","F","220","0.0",0,0,0.474,0.474,1.5,3.2,0.444,0.6,1.4,428,3.7,0,0,0,0,5.4,0.535,2.9,0.503,3,1.5
"8",1998,2008,"July 18","University of Kentucky","6-5","Derek Anderson","G","194","3.1",0.341,1,0.463,0.408,3.9,9.6,0.853,3,3.6,615,12,2.5,0.364,0.9,0,8.5,0.482,4.1,0.805,4,3.2
"9",2015,2018,"September 20","Los Angeles","6-9","Kyle Anderson","F-G","230","0.6",0.336,0.2,0.501,0.477,1.9,4,0.734,0.8,1.1,255,4.9,1.4,0.375,0.5,0,9.4,0.452,4.3,0.736,4.3,3.1
"10",1983,1990,"November 19","Santa Barbara","6-10","Richard Anderson","F-C","240","1.1",0.333,0.4,0.446,0.412,2.2,5.4,0.762,0.7,0.9,407,5.6,0,0,0,0,11.2,0.454,5.1,0.718,3.1,2.2
"11",1985,1994,"October 15","Fresno","6-7","Ron Anderson","F-G","215","0.6",0.287,0.2,0.479,0.471,4.4,9.4,0.814,1.6,2,664,10.6,0,0,0,0,12.7,0.56,7.1,0.802,3.4,2.7
"12",2008,2017,"August 9","Las Vegas","6-9","Joel Anthony","C","245","0.0",NA,0,0.513,0.513,0.8,1.6,0.662,0.5,0.8,490,2.2,0,0,0,0,2.6,0.573,1.5,0.561,1.2,0.7
"13",2005,2018,"June 30","Los Angeles","6-8","Trevor Ariza","F","215","3.9",0.354,1.4,0.503,0.425,3.8,8.9,0.723,1.6,2.2,941,10.5,3,0.237,0.7,0,10,0.426,4.3,0.504,4.5,2.3
"14",1992,2006,"August 1","Las Vegas","6-8","Stacey Augmon","F-G","205","0.1",0.152,0,0.47,0.469,3,6.5,0.728,1.9,2.6,1001,8,1.6,0.42,0.7,0,9.4,0.555,5.2,0.677,4.1,2.8
"15",2011,2018,"June 20","Reno","6-9","Luke Babbitt","F","225","2.6",0.402,1,0.532,0.408,1.7,4.2,0.747,0.3,0.4,381,4.8,2.6,0.421,1.1,0,13.6,0.48,6.5,0.893,5.8,5.2
"16",1999,2000,"November 19","Los Angeles","6-6","Toby Bailey","G","213","0.2",0.2,0,0.414,0.407,1.3,3.1,0.692,0.7,1.1,73,3.3,3.9,0.341,1.3,0,11.5,0.459,5.3,0.667,3.7,2.5
"17",2018,2018,"October 27","Los Angeles","6-6","Lonzo Ball","G","190","5.7",0.305,1.7,0.44,0.36,3.9,10.8,0.451,0.6,1.4,52,10.2,5.4,0.412,2.2,0,9.5,0.551,5.3,0.673,2.7,1.8
